# Attributs des unites de Total War: WARHAMMER III, par nom affiche.
#
# Source : le jeu de base ET les 133 packs du workshop installes.
#   db.pack        — ATTENTION, c'est db.pack et non data.pack, qui ne contient
#                    aucune table ;
#   local_en.pack  — INDISPENSABLE et facile a oublier : il ne porte aucune table,
#                    seulement les NOMS AFFICHES du jeu de base. Sans lui, toutes
#                    les unites vanilla sortent du resultat faute de nom, et le
#                    fichier produit parait pourtant plus riche. Un compteur ne
#                    voit pas cette erreur : quatre unites temoins, si.
#   workshop\\1142710\\*\\*.pack — les mods.
#
# Tables lues, et la liaison correcte entre elles :
#   land_units_tables                          cle d'unite -> nom de GROUPE
#   unit_attributes_to_groups_junctions_tables nom de groupe -> attributs
#   land_units_to_unit_abilites_junctions      pour les deux familles de soin
#   land_units_onscreen_name_*                 cle d'unite -> nom affiche
# Passer par le groupe est obligatoire : dans le jeu de base il porte le meme nom
# que l'unite, ce qui laisse croire qu'on peut s'en dispenser, mais les mods
# declarent de vrais groupes partages (« wh3_deer24_BINGYONG_attributes »).
# Extraction : ~\\.claude\\tools\\tww\\dump_db_rows.ps1, qui suit le SCHEMA de la
# table. Ne PAS utiliser dump_db.ps1, qui extrait les chaines a plat.
#
# Format :  Nom affiche <TAB> attribut,attribut,...
#
# DEUX PSEUDO-ATTRIBUTS viennent de la table des CAPACITES, pas de celle des
# attributs — du point de vue d'une note de fiche c'est la meme affirmation :
#   regeneration  soin continu (wh_main_unit_passive_regeneration et la variante
#                 nurglesque). Recompense une unite qui TIENT.
#   the_hunger    soin vampirique, les trois cles ..._the_hunger. Rend des PV EN
#                 TUANT. Recompense une unite qu'on LANCE.
# Les separer est indispensable : confondus, ils faisaient accuser quatre Varghulf
# a tort. Methode validee sur les Trolls de Riviere, qui portent la vraie
# Regeneration. healing_power dans land_units ne discrimine rien (vaut 1 partout).
#
# UNION ENTRE PACKS. L'ordre de chargement des mods n'est pas connu ici, donc on
# prend l'union des attributs. Un mod qui RETIRE un attribut ne sera pas vu : le
# controle peut donc taire un vrai defaut, jamais en inventer un. C'est le bon sens
# d'erreur pour un outil informatif. Meme raison pour les noms : quand un mod
# renomme une unite du jeu de base, les DEUX noms sont conserves.
#
# Regenerer apres un DLC ou un nouveau mod : voir scratchpad de la session du
# 19/08/2026 (generer_attributs_v2.ps1 puis installer_attributs.ps1). Le script de
# generation verifie quatre unites temoins et refuse d'installer si l'une est
# fausse — un total ne prouve rien.
#
# 4423 unites portant au moins un attribut.
#
"Contorted Man"	causes_fear,causes_terror,hide_forest,unbreakable,undead,yin
"Lady Yayi"	causes_fear,causes_terror,hide_forest,ignore_imbue_contact_effects_enemy,undead,yin
"Shadow People of Ward 6"	causes_fear,causes_terror,guerrilla_deploy,hide_forest,stalk,undead,yin
"Woman Who Jumped"	causes_fear,causes_terror,hide_forest,undead,yin
(Tortoise Tank)	causes_fear,causes_terror,flanking_immune,mounted_fire_move,strider,unbreakable
[[col:red]]『终焉之主』艾查恩[[/col]]	causes_fear,encourages,hide_forest,immune_to_psychology,regeneration,strider
{{tr:agent_subtypes_onscreen_name_override_wh2_dlc13_lzd_slann_mage_priest_beasts}}	encourages,hide_forest,strider
{{tr:agent_subtypes_onscreen_name_override_wh2_dlc13_lzd_slann_mage_priest_death}}	encourages,hide_forest,strider
{{tr:agent_subtypes_onscreen_name_override_wh2_dlc13_lzd_slann_mage_priest_metal}}	encourages,hide_forest,strider
{{tr:agent_subtypes_onscreen_name_override_wh2_dlc13_lzd_slann_mage_priest_shadows}}	encourages,hide_forest,strider
{{tr:land_units_onscreen_name_wh_dlc06_grn_inf_squig_herd_0}}	hide_forest,immune_to_psychology,squig
{{tr:land_units_onscreen_name_wh_dlc08_nor_cha_shaman_sorcerer_death_0}}	encourages,hide_forest
{{tr:land_units_onscreen_name_wh_dlc08_nor_cha_shaman_sorcerer_fire_0}}	encourages,hide_forest
{{tr:land_units_onscreen_name_wh_dlc08_nor_cha_shaman_sorcerer_metal_0}}	encourages,hide_forest
{{tr:land_units_onscreen_name_wh_main_dwf_inf_miners_1}}	guerrilla_deploy,hide_forest
{{tr:land_units_onscreen_name_wh2_dlc15_grn_mon_wyvern_waaagh_0}}	causes_fear,causes_terror,flying
{{tr:land_units_onscreen_name_wh3_cp1_cth_inf_iron_claw_guandao}}	charge_defense_vs_large,charge_reflection,hide_forest,ignore_trees,tiger_warrior
{{tr:land_units_onscreen_name_wh3_dlc24_cth_mon_celestial_lion}}	causes_fear,causes_terror,flying
{{tr:land_units_onscreen_name_wh3_dlc25_nur_cha_bray_shaman_wild_chieftain}}	causes_fear,encourages,guerrilla_deploy,hide_forest,ignore_trees
{{tr:land_units_onscreen_name_wh3_dlc25_nur_cha_exalted_hero_chieftain}}	causes_fear,causes_terror,encourages,flying,hide_forest
{{tr:land_units_onscreen_name_wh3_dlc26_grn_cha_savage_orc_great_shaman}}	causes_fear,causes_terror,encourages,flying,hide_forest
{{tr:land_units_onscreen_name_wh3_dlc27_chs_cha_exalted_hero_msla}}	causes_fear,devastating_flanker,encourages,hide_forest,immune_to_psychology,mark_slaanesh,strider
